intertidal_sitename,year,date
Cabrillo I,2002,3/26/2002
Cabrillo I,2004,6/7/2004
Cabrillo I,2009,12/14/2009
Cabrillo I,2013,1/9/2013
Cabrillo I,2020,
Cabrillo III,2002,3/23/2002
Cabrillo III,2012,5/8/2012
Cabrillo III,2017,2/11/2017
