"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/01/01","00:00","0.091","-","0.93"
"2022/01/01","01:00","1.377","-","2.14"
"2022/01/01","02:00","2.636","-","3.36"
"2022/01/01","03:00","3.573","-","4.25"
"2022/01/01","04:00","3.984","-","4.5"
"2022/01/01","05:00","3.856","-","4.14"
"2022/01/01","06:00","3.347","-","3.59"
"2022/01/01","07:00","2.69","-","3.03"
"2022/01/01","08:00","2.139","-","2.61"
"2022/01/01","09:00","1.947","-","2.37"
"2022/01/01","10:00","2.294","-","2.72"
"2022/01/01","11:00","3.176","-","3.65"
"2022/01/01","12:00","4.409","-","4.83"
"2022/01/01","13:00","5.716","-","6.08"
"2022/01/01","14:00","6.799","-","7.13"
"2022/01/01","15:00","7.364","-","7.72"
"2022/01/01","16:00","7.184","-","7.45"
"2022/01/01","17:00","6.209","-","6.37"
"2022/01/01","18:00","4.601","-","4.85"
"2022/01/01","19:00","2.658","-","3.04"
"2022/01/01","20:00","0.722","-","1.12"
"2022/01/01","21:00","-0.853","-","-0.49"
"2022/01/01","22:00","-1.752","-","-1.43"
"2022/01/01","23:00","-1.821","-","-1.5"
"2022/01/02","00:00","-1.131","-","-0.72"
"2022/01/02","01:00","0.086","-","0.5"
"2022/01/02","02:00","1.529","-","1.87"
"2022/01/02","03:00","2.872","-","3.16"
"2022/01/02","04:00","3.806","-","4.07"
"2022/01/02","05:00","4.149","-","4.39"
"2022/01/02","06:00","3.925","-","3.95"
"2022/01/02","07:00","3.331","-","3.26"
"2022/01/02","08:00","2.626","-","2.64"
"2022/01/02","09:00","2.085","-","2.21"
"2022/01/02","10:00","1.971","-","2.14"
"2022/01/02","11:00","2.44","-","2.6"
"2022/01/02","12:00","3.448","-","3.65"
"2022/01/02","13:00","4.771","-","4.9"
"2022/01/02","14:00","6.104","-","6.19"
"2022/01/02","15:00","7.135","-","7.23"
"2022/01/02","16:00","7.565","-","7.72"
"2022/01/02","17:00","7.188","-","7.33"
"2022/01/02","18:00","6.001","-","6.06"
"2022/01/02","19:00","4.217","-","4.32"
"2022/01/02","20:00","2.165","-","2.43"
"2022/01/02","21:00","0.207","-","0.61"
"2022/01/02","22:00","-1.29","-","-1"
"2022/01/02","23:00","-2.031","-","-1.77"
"2022/01/03","00:00","-1.905","-","-1.56"
"2022/01/03","01:00","-1.031","-","-0.6"
"2022/01/03","02:00","0.322","-","0.69"
"2022/01/03","03:00","1.832","-","2.09"
"2022/01/03","04:00","3.161","-","3.43"
"2022/01/03","05:00","4.011","-","4.31"
"2022/01/03","06:00","4.235","-","4.37"
"2022/01/03","07:00","3.903","-","3.87"
"2022/01/03","08:00","3.24","-","3.25"
"2022/01/03","09:00","2.52","-","2.64"
"2022/01/03","10:00","2.024","-","2.2"
"2022/01/03","11:00","2.005","-","2.2"
"2022/01/03","12:00","2.583","-","2.86"
"2022/01/03","13:00","3.671","-","3.91"
"2022/01/03","14:00","5.016","-","5.21"
"2022/01/03","15:00","6.304","-","6.43"
"2022/01/03","16:00","7.223","-","7.47"
"2022/01/03","17:00","7.489","-","7.84"
"2022/01/03","18:00","6.935","-","7.09"
"2022/01/03","19:00","5.606","-","5.74"
"2022/01/03","20:00","3.752","-","4.01"
"2022/01/03","21:00","1.715","-","1.96"
"2022/01/03","22:00","-0.142","-","0.08"
"2022/01/03","23:00","-1.467","-","-1.25"
"2022/01/04","00:00","-2","-","-1.81"
"2022/01/04","01:00","-1.683","-","-1.47"
"2022/01/04","02:00","-0.676","-","-0.44"
"2022/01/04","03:00","0.731","-","0.88"
"2022/01/04","04:00","2.215","-","2.32"
"2022/01/04","05:00","3.449","-","3.57"
"2022/01/04","06:00","4.161","-","4.29"
"2022/01/04","07:00","4.25","-","4.32"
"2022/01/04","08:00","3.827","-","3.81"
"2022/01/04","09:00","3.132","-","3.11"
"2022/01/04","10:00","2.436","-","2.52"
"2022/01/04","11:00","2.01","-","2.13"
"2022/01/04","12:00","2.078","-","2.21"
"2022/01/04","13:00","2.723","-","2.82"
"2022/01/04","14:00","3.819","-","3.88"
"2022/01/04","15:00","5.102","-","5.14"
"2022/01/04","16:00","6.269","-","6.32"
"2022/01/04","17:00","7.029","-","7.13"
"2022/01/04","18:00","7.128","-","7.24"
"2022/01/04","19:00","6.443","-","6.48"
"2022/01/04","20:00","5.065","-","5.12"
"2022/01/04","21:00","3.259","-","3.44"
"2022/01/04","22:00","1.361","-","1.56"
"2022/01/04","23:00","-0.291","-","-0.07"
"2022/01/05","00:00","-1.379","-","-1.24"
